x,y,contour_id,colour
504,16,0,#FF0000
504,18,0,#FF0000
504,20,0,#FF0000
504,22,0,#FF0000
504,24,0,#FF0000
504,25,0,#FF0000
502,27,0,#FF0000
502,29,0,#FF0000
502,31,0,#FF0000
502,33,0,#FF0000
502,35,0,#FF0000
502,36,0,#FF0000
502,38,0,#FF0000
502,40,0,#FF0000
500,42,0,#FF0000
500,44,0,#FF0000
500,45,0,#FF0000
500,47,0,#FF0000
498,49,0,#FF0000
498,51,0,#FF0000
498,53,0,#FF0000
498,55,0,#FF0000
498,56,0,#FF0000
498,58,0,#FF0000
498,60,0,#FF0000
498,62,0,#FF0000
498,64,0,#FF0000
498,65,0,#FF0000
498,67,0,#FF0000
498,69,0,#FF0000
498,71,0,#FF0000
498,73,0,#FF0000
498,75,0,#FF0000
498,76,0,#FF0000
498,78,0,#FF0000
498,80,0,#FF0000
498,82,0,#FF0000
498,84,0,#FF0000
498,85,0,#FF0000
498,87,0,#FF0000
498,89,0,#FF0000
498,91,0,#FF0000
498,93,0,#FF0000
498,95,0,#FF0000
498,96,0,#FF0000
498,98,0,#FF0000
498,100,0,#FF0000
498,102,0,#FF0000
500,104,0,#FF0000
500,105,0,#FF0000
500,107,0,#FF0000
502,107,0,#FF0000
504,107,0,#FF0000
506,107,0,#FF0000
507,107,0,#FF0000
509,107,0,#FF0000
511,107,0,#FF0000
513,107,0,#FF0000
515,107,0,#FF0000
517,107,0,#FF0000
518,107,0,#FF0000
520,107,0,#FF0000
522,107,0,#FF0000
524,107,0,#FF0000
526,107,0,#FF0000
527,107,0,#FF0000
529,107,0,#FF0000
531,107,0,#FF0000
531,105,0,#FF0000
533,105,0,#FF0000
535,105,0,#FF0000
537,105,0,#FF0000
538,104,0,#FF0000
540,104,0,#FF0000
542,102,0,#FF0000
544,100,0,#FF0000
546,98,0,#FF0000
547,98,0,#FF0000
549,96,0,#FF0000
551,95,0,#FF0000
553,93,0,#FF0000
555,91,0,#FF0000
557,91,0,#FF0000
557,89,0,#FF0000
558,87,0,#FF0000
560,87,0,#FF0000
560,85,0,#FF0000
560,84,0,#FF0000
562,84,0,#FF0000
562,82,0,#FF0000
564,82,0,#FF0000
564,80,0,#FF0000
566,80,0,#FF0000
567,80,0,#FF0000
567,78,0,#FF0000
569,78,0,#FF0000
571,78,0,#FF0000
573,78,0,#FF0000
575,78,0,#FF0000
577,78,0,#FF0000
577,80,0,#FF0000
577,82,0,#FF0000
577,84,0,#FF0000
575,84,0,#FF0000
575,85,0,#FF0000
575,87,0,#FF0000
573,87,0,#FF0000
571,87,0,#FF0000
569,89,0,#FF0000
567,91,0,#FF0000
566,91,0,#FF0000
564,93,0,#FF0000
564,95,0,#FF0000
562,96,0,#FF0000
560,98,0,#FF0000
558,100,0,#FF0000
557,102,0,#FF0000
557,104,0,#FF0000
555,105,0,#FF0000
553,105,0,#FF0000
553,107,0,#FF0000
551,109,0,#FF0000
549,111,0,#FF0000
549,113,0,#FF0000
547,115,0,#FF0000
546,116,0,#FF0000
544,118,0,#FF0000
542,120,0,#FF0000
540,122,0,#FF0000
538,124,0,#FF0000
538,125,0,#FF0000
537,127,0,#FF0000
535,127,0,#FF0000
535,129,0,#FF0000
535,131,0,#FF0000
533,133,0,#FF0000
531,135,0,#FF0000
529,136,0,#FF0000
527,138,0,#FF0000
527,140,0,#FF0000
526,142,0,#FF0000
524,144,0,#FF0000
524,145,0,#FF0000
524,147,0,#FF0000
522,149,0,#FF0000
520,151,0,#FF0000
520,153,0,#FF0000
518,155,0,#FF0000
517,156,0,#FF0000
517,158,0,#FF0000
517,160,0,#FF0000
515,160,0,#FF0000
513,162,0,#FF0000
513,164,0,#FF0000
513,165,0,#FF0000
511,167,0,#FF0000
509,167,0,#FF0000
509,169,0,#FF0000
509,171,0,#FF0000
507,171,0,#FF0000
507,173,0,#FF0000
506,175,0,#FF0000
506,176,0,#FF0000
506,178,0,#FF0000
504,178,0,#FF0000
502,180,0,#FF0000
502,182,0,#FF0000
502,184,0,#FF0000
